id,artist_name,music_name,length,release,url
1,BiSH,プロミスザスター,271,2017,https://www.youtube.com/watch?v=ox8WVRnb8GA&ab_channel=BiSH
2,BiSH,オーケストラ,342,2016,https://www.youtube.com/watch?v=_RRbVhobb9o&ab_channel=BiSH
3,BiSH,My Landscape,339,2017,https://www.youtube.com/watch?v=--ombqA70cI&ab_channel=BiSHH
4,BiSH,BiSH-星が瞬く夜に-,279,2015,https://www.youtube.com/watch?v=8y-dHKkp2zU&ab_channel=BiSHTUBE
5,BiSH,beautifulさ,276,2016,https://www.youtube.com/watch?v=27VZuj-0EW0&ab_channel=BiSH-Topic
6,BiSH,PAiNT iT BLACK,236,2018,https://www.youtube.com/watch?v=OaXiTwgkDAw&ab_channel=BiSH
7,BiSH,DiSTANCE,260,2019,https://www.youtube.com/watch?v=CevHzbIZ5vs&ab_channel=BiSH
8,BiSH,NON TiE-UP,281,2018,https://www.youtube.com/watch?v=fZ_wJe50YzQ&ab_channel=BiSH
9,BiSH,stereo future,287,2018,https://www.youtube.com/watch?v=mDYoE4pvM1E&ab_channel=BiSH
10,BiSH,STACKiNG,266,2021,https://www.youtube.com/watch?v=f_6uaeq1dLU&ab_channel=BiSH
11,BiSH,I have no idea.,227,2021,https://www.youtube.com/watch?v=HHXgVFfc_Go&ab_channel=BiSH
12,BiSH,CAN WE STiLL BE??,233,2021,https://www.youtube.com/watch?v=mxUwjuUe7Vg&ab_channel=BiSH
13,BiSH,サラバかな,278,2015,https://www.youtube.com/watch?v=0VC9Tav4xy4&ab_channel=BiSH-Topic
14,BiSH,HiDE the BLUE,263,2018,https://www.youtube.com/watch?v=JPxNUx8ie8w&pp=ygUNaGlkZSB0aGUgYmx1ZQ%3D%3D
15,BiSH,ALL YOU NEED IS LOVE,295,2016,https://www.youtube.com/watch?v=hKko4GOvEyQ&pp=ygUUYWxsIHlvdSBuZWVkIGlzIGxvdmU%3D
16,PEDRO,浪漫,201,2020,https://www.youtube.com/watch?v=RallhSs_0PE&pp=ygUMcGVkcm8g5rWq5ryr
17,PEDRO,感傷謳歌,274,2020,https://www.youtube.com/watch?v=as68cUH93Ek&pp=ygUM5oSf5YK36Kyz5q2M
18,PEDRO,自律神経出張中,236,2018,https://www.youtube.com/watch?v=o_3o7p78OOY&pp=ygUV6Ieq5b6L56We57WM5Ye65by15Lit
19,PEDRO,NIGHT NIGHT,256,2019,https://www.youtube.com/watch?v=xPiYLlhht4o&pp=ygULbmlnaHQgbmlnaHQ%3D
20,PEDRO,生活革命,274,2020,https://www.youtube.com/watch?v=5Poh_W5UKkI&pp=ygUM55Sf5rS76Z2p5ZG9
21,PEDRO,東京,208,2021,https://www.youtube.com/watch?v=LwAwSWMZMoc&pp=ygUO5p2x5Lqs44CAcGVkcm8%3D
22,PEDRO,雪の街,279,2021,https://www.youtube.com/watch?v=quwXF0BKkgc&pp=ygUJ6Zuq44Gu6KGX
23,PEDRO,いっそ僕の知らない世界の道端でのたれ死んでください,253,2021,https://www.youtube.com/watch?v=AE6ztf3DT0A&pp=ygVL44GE44Gj44Gd5YOV44Gu55-l44KJ44Gq44GE5LiW55WM44Gu6YGT56uv44Gn44Gu44Gf44KM5q2744KT44Gn44GP44Gg44GV44GE
24,PEDRO,ラブというソング,205,2019,https://www.youtube.com/watch?v=yymcjrBMCw4&pp=ygUY44Op44OW44Go44GE44GG44K944Oz44Kw
25,TK from 凛として時雨,蝶の飛ぶ水槽,363,2020,https://www.youtube.com/watch?v=AdYmTMfnH4I&pp=ygUS6J2244Gu6aOb44G25rC05qe9
26,TK from 凛として時雨,yesworld,293,2021,https://www.youtube.com/watch?v=52hS7eKVb3w&pp=ygUIeWVzd29ybGQ%3D
27,TK from 凛として時雨,White Silence,418,2012,
28,TK from 凛として時雨,unravel,243,2014,https://www.youtube.com/watch?v=Fve_lHIPa-I&pp=ygUHdW5yYXZlbA%3D%3D
29,TK from 凛として時雨,invalid phrase,337,2016,
30,TK from 凛として時雨,Dramatic Slow Motion,232,2014,https://www.youtube.com/watch?v=nIbGjdslAcY
31,TK from 凛として時雨,like there is tomorrow,246,2016,https://www.youtube.com/watch?v=mzYtqF2g17c&pp=ygUWbGlrZSB0aGVyZSBpcyB0b21vcnJvdw%3D%3D
32,TK from 凛として時雨,katharsis,279,2018,https://www.youtube.com/watch?v=f4D0lY6A3nU&pp=ygUJa2F0aGFyc2lz
33,TK from 凛として時雨,copy light,335,2020,https://www.youtube.com/watch?v=zmRV5CP1dDs&pp=ygUKY29weSBsaWdodA%3D%3D